Price in USD,ISEVEN,ISODD
1.47,FALSE,TRUE
1.48,FALSE,TRUE
1.48,FALSE,TRUE
1.48,FALSE,TRUE
1.48,FALSE,TRUE
1.49,FALSE,TRUE
1.49,FALSE,TRUE
1.49,FALSE,TRUE
1.5,FALSE,TRUE
1.5,FALSE,TRUE
1.5,FALSE,TRUE
1.5,FALSE,TRUE
1.51,FALSE,TRUE
1.51,FALSE,TRUE
1.52,FALSE,TRUE
1.53,FALSE,TRUE
1.53,FALSE,TRUE
1.54,FALSE,TRUE
1.55,FALSE,TRUE
1.55,FALSE,TRUE
1.56,FALSE,TRUE
1.57,FALSE,TRUE
1.57,FALSE,TRUE
1.58,FALSE,TRUE
1.59,FALSE,TRUE
1.59,FALSE,TRUE
1.59,FALSE,TRUE
1.59,FALSE,TRUE
1.59,FALSE,TRUE
1.6,FALSE,TRUE
1.6,FALSE,TRUE
1.6,FALSE,TRUE
1.6,FALSE,TRUE
1.6,FALSE,TRUE
1.61,FALSE,TRUE
1.61,FALSE,TRUE
1.61,FALSE,TRUE
1.63,FALSE,TRUE
1.64,FALSE,TRUE
1.66,FALSE,TRUE
1.68,FALSE,TRUE
1.69,FALSE,TRUE
1.71,FALSE,TRUE
1.73,FALSE,TRUE
1.74,FALSE,TRUE
1.76,FALSE,TRUE
1.78,FALSE,TRUE
1.8,FALSE,TRUE
1.81,FALSE,TRUE
1.83,FALSE,TRUE
1.84,FALSE,TRUE
1.85,FALSE,TRUE
1.87,FALSE,TRUE
1.88,FALSE,TRUE
1.89,FALSE,TRUE
1.91,FALSE,TRUE
1.92,FALSE,TRUE
1.93,FALSE,TRUE
1.95,FALSE,TRUE
1.96,FALSE,TRUE
0.82,TRUE,FALSE
0.83,TRUE,FALSE
0.83,TRUE,FALSE
0.84,TRUE,FALSE
0.84,TRUE,FALSE
0.85,TRUE,FALSE
0.86,TRUE,FALSE
0.86,TRUE,FALSE
0.87,TRUE,FALSE
0.87,TRUE,FALSE
0.88,TRUE,FALSE
0.89,TRUE,FALSE
0.89,TRUE,FALSE
0.9,TRUE,FALSE
0.9,TRUE,FALSE
0.91,TRUE,FALSE
0.92,TRUE,FALSE
0.92,TRUE,FALSE
0.93,TRUE,FALSE
0.93,TRUE,FALSE
0.94,TRUE,FALSE
0.95,TRUE,FALSE
0.95,TRUE,FALSE
0.96,TRUE,FALSE
0.96,TRUE,FALSE
0.97,TRUE,FALSE
0.97,TRUE,FALSE
0.97,TRUE,FALSE
0.98,TRUE,FALSE
0.98,TRUE,FALSE
0.98,TRUE,FALSE
0.99,TRUE,FALSE
0.99,TRUE,FALSE
0.99,TRUE,FALSE
1,FALSE,TRUE
1,FALSE,TRUE
1,FALSE,TRUE
1.02,FALSE,TRUE
1.03,FALSE,TRUE
1.04,FALSE,TRUE
1.06,FALSE,TRUE
1.07,FALSE,TRUE
1.09,FALSE,TRUE
1.1,FALSE,TRUE
1.11,FALSE,TRUE
1.13,FALSE,TRUE
1.14,FALSE,TRUE
1.15,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.18,FALSE,TRUE
1.18,FALSE,TRUE
1.18,FALSE,TRUE
1.18,FALSE,TRUE
1.18,FALSE,TRUE
1.19,FALSE,TRUE
1.19,FALSE,TRUE
2.08,TRUE,FALSE
2.09,TRUE,FALSE
2.1,TRUE,FALSE
2.11,TRUE,FALSE
2.12,TRUE,FALSE
2.13,TRUE,FALSE
2.13,TRUE,FALSE
2.14,TRUE,FALSE
2.15,TRUE,FALSE
2.16,TRUE,FALSE
2.17,TRUE,FALSE
2.18,TRUE,FALSE
2.19,TRUE,FALSE
2.2,TRUE,FALSE
2.2,TRUE,FALSE
2.21,TRUE,FALSE
2.22,TRUE,FALSE
2.23,TRUE,FALSE
2.24,TRUE,FALSE
2.25,TRUE,FALSE
2.26,TRUE,FALSE
2.27,TRUE,FALSE
2.27,TRUE,FALSE
2.28,TRUE,FALSE
2.29,TRUE,FALSE
2.3,TRUE,FALSE
2.31,TRUE,FALSE
2.32,TRUE,FALSE
2.33,TRUE,FALSE
2.33,TRUE,FALSE
2.34,TRUE,FALSE
2.35,TRUE,FALSE
2.36,TRUE,FALSE
2.37,TRUE,FALSE
2.38,TRUE,FALSE
2.39,TRUE,FALSE
